los_score,distance_to_rail_m,geometry,hash,number,street,unit,city,district,region,postcode,id
1,51.1792989395022,POINT (-87.62335040000002 41.71582409999999),d64ad4febdebbfd0,9810,S STATE ST,,,,,,
1,30.241712369802045,POINT (-87.6246847 41.72143189999999),08a2aaa3f55f887b,24,W 95TH ST,,,,,,
1,27.174948038050317,POINT (-87.6246672 41.72059310000001),5dd3698174bee512,9534,S DAN RYAN EXPY OB,,,,,,
1,28.554035718478097,POINT (-87.62416419999998 41.7207899),ebbe9e0dc0d10ab6,9512,S STATE ST,,,,,,
0,25.589863129392466,POINT (-87.62418100000001 41.7216102),bafe88df5d45d3a6,9514,S STATE ST,,,,,,
0,53.97154626375856,POINT (-87.62393499999999 41.7208618),10f9036c1df62e93,9516,S STATE ST,,,,,,
1,62.37760795571707,POINT (-87.6238603 41.720793699999994),3e845d8d815c9270,9518,S STATE ST,,,,,,
1,43.82963041823112,POINT (-87.6331188 41.7195248),3c2ed27c186122af,353,W 96TH ST,,,,,,
0,66.29569184590602,POINT (-87.632918 41.71956399999999),fc86ee11d6b92690,349,W 96TH ST,,,,,,
0,77.56344489188858,POINT (-87.63281679999999 41.719565499999995),eee3cbb558189b61,345,W 96TH ST,,,,,,
0,88.57521494118303,POINT (-87.63271789999999 41.71956699999999),2161b84543ee8c6f,343,W 96TH ST,,,,,,
0,65.72229461912265,POINT (-87.63275089999999 41.71317520000001),289006df6e41b9a0,347,W 99TH PL,,,,,,
0,75.94235540813634,POINT (-87.6326591 41.71317619999999),952a5af64b3d457f,345,W 99TH PL,,,,,,
0,86.16271629344031,POINT (-87.6325673 41.71317729999999),9be0ca503782ec6d,343,W 99TH PL,,,,,,
0,96.38307718252506,POINT (-87.6324755 41.7131784),e2195b853d399a8b,341,W 99TH PL,,,,,,
1,67.62581550313142,POINT (-87.6339737 41.71409020000001),9248af3d047cce38,401,W 99TH ST,,,,,,
1,27.661638905027544,POINT (-87.6328716 41.7049685),4305e81ec178e756,355,W 104TH ST,,,,,,
1,13.995435661636723,POINT (-87.63299379999998 41.7049466),faa2dda408e3bef1,334,W 104TH PL,,,,,,
1,56.26342660302711,POINT (-87.6326147 41.7049717),db597a94677aae3d,351,W 104TH ST,,,,,,
1,19.125169232756335,POINT (-87.63292459999998 41.7040895),df49a4a14ea06d48,348,W 105TH ST,,,,,,
0,83.29302993640916,POINT (-87.6342991 41.72093809999999),44b14e0e7f253a46,406,W 95TH PL,,,,,,
0,73.3286515236339,POINT (-87.63420959999999 41.720939200000004),ee8c1f28185022a3,404,W 95TH PL,,,,,,
1,63.597996713620155,POINT (-87.63412219999998 41.720940299999995),f4796bc11d5a94ef,400,W 95TH PL,,,,,,
1,82.40684789373601,POINT (-87.62007639999999 41.7140773),f75f30399916b9fc,9907,S MICHIGAN AVE,,,,,,
1,31.65815217972304,POINT (-87.61993589999999 41.7132561),cbc0f4725bea8ec2,9911,S MICHIGAN AVE,,,,,,
1,81.00855766078666,POINT (-87.6213346 41.7133179),5be54769100f0e01,54,E 99TH PL,,,,,,
1,61.614570018805374,POINT (-87.6206279 41.71320360000001),2724f25c3448a7de,9944,S MICHIGAN AVE,,,,,,
1,22.39661996850376,POINT (-87.61927099999998 41.71350710000001),a6a5fa3d049cf2a3,9901,S INDIANA AVE,,,,,,
0,93.5105417176063,POINT (-87.6344006 41.7212977),acf5833ae163ec44,421,W 95TH ST,,,,,,
1,69.29478108900693,POINT (-87.63415929999998 41.7204179),8bdbe278aad87d05,401,W 95TH PL,,,,,,
1,23.928686845743798,POINT (-87.6329472 41.70652840000001),5e91470a14c224e4,359,W 103RD ST,,,,,,
1,12.138071620863867,POINT (-87.6330316 41.705729600000005),dafd5d1d0f57f9f4,354,W 104TH ST,,,,,,
